#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search =  tess2018319112539
#Sectors = S0005-S0005
#Created Date = 2019-02-27
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00117979455-01,117979455,1,1,5823,4.33694,0.633571,4.96575e-005,4.32259,7.73262,0.0344069,8.41541,0.0146779,1.15079,1366.02,175.41,0.581939,1438.29,0.00100204,0.0204696,0.227863,2.14773,0.42612,42,34.8293,9.27847,3.95985,2275.13,6332.03
00117979694-01,117979694,1,1,5130,4.61769,0.991541,0.000171331,2.01702,1.35756,0.0244265,3.55808,0.0185534,0.75639,662.774,60.8966,1.87214,1438.71,0.00241386,0.0652598,0.557058,1.55138,0.37857,26,23.493,8.01836,3.49231,1445.34,1031.35
00117979897-01,117979897,1,1,5900,4.2619,3.3108,0.000226518,13.3104,0.291128,0.0889955,7.34795,0.0468696,1.37,9082.11,158.782,3.63502,1439.87,0.000952123,0.322505,0.282843,1.77146,0.60278,8,43.9886,32.9579,13.8763,1407.53,927.588
00121568625-01,121568625,1,1,6379,4.24089,4.23265,2.42581e-005,85.8655,86.0707,0.555111,6.37577,0.0555585,1.41689,223134,328.735,7.00675,1439.04,6.76034e-005,3.50337,0.751954,12.799,0.61944,7,551364,2547.75,1380.08,1421.47,964.873
00121595243-01,121595243,1,1,4726,4.438,1.05693,0.000126094,27.7849,9.24041,0.254511,3.8894,0.0203167,1,53532.4,3466.18,2.0393,1439,0.00172052,1.01965,0.819191,1.52956,0.65116,25,112.661,17.8893,7.88484,1463.05,1082.83
00121634766-01,121634766,1,2,2964,5.13136,0.358075,1.78247e-005,2.85717,0.661548,0.167768,3.69819,0.00487163,0.156,25745.9,2469.79,0.627713,1438.28,0.000632581,0.313857,0.831787,16.5236,0.18099,73,61.3136,14.4857,3.98754,740.109,70.9092
00121634766-02,121634766,2,2,2964,5.13136,0.3581,1.7213e-005,3.61773,4.87682,0.212427,3.26333,0.00487186,0.156,26285,1912.7,0.686808,1438.11,0.0006284,0.343404,0.930702,3.26773,0.10938,74,57.0007,15.827,4.42538,740.091,70.9025
00121635147-01,121635147,1,1,3435,4.438,13.6674,0.00346349,2.35,2.20574,0.0215261,38.7145,0.11193,1,536.674,73.1181,2.56909,1443.97,0.00217759,0.0624936,0.369264,2.96168,-0.55,2,8.93833,10.7433,9.64674,453.05,9.95645
00121643760-01,121643760,1,1,4921,4.438,1.17945,0.00010641,15.3066,0.760779,0.140209,5.69488,0.0218579,1,18290.9,1046.71,1.27478,1438.36,0.00128514,0.424736,0.817634,6.91536,0.59028,23,43.2742,17.6575,6.41398,1468.73,1099.73
00001220444-01,1220444,1,2,5730,4.06693,7.16213,5.19019e-005,32.9088,4.21535,0.194327,17.6096,0.0733293,1.55123,40689.3,104.569,3.23481,1440.63,0.000100509,0.760043,0.587352,25.12,1.95972,4,14791.5,334.606,217.177,1162.91,432.22
