#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search =  tess2018349182739
#Sectors = S0006-S0006
#Created Date = 2019-02-27
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00100481123-01,100481123,1,1,3729,4.438,11.7918,0.00216737,7.74093,4.71866,0.0709072,97.0318,0.10144,1,5993.61,1037.95,0.994193,1474.51,0.00157704,0.0658362,0.00999983,7.21048,7.38611,2,0.25681,12.6419,9.5889,516.63,16.836
00100510452-01,100510452,1,1,3554,4.438,11.1248,0.00230779,13.2012,0.941702,0.120924,37.8457,0.0975777,1,16248.7,1728.02,2.21011,1474.68,0.0018303,0.32338,0.536905,5.38812,1.78889,2,1.06522,16.3996,18.8239,502.035,15.0126
00100608026-01,100608026,1,1,4105,4.60015,8.26655,0.00444214,2.66914,2.90313,0.0367436,30.0339,0.0691002,0.665406,1646.01,189.942,2.18006,1475.53,0.00316411,0.0773153,0.0176931,3.16377,-0.51528,2,8e-005,9.32784,6.68993,562.094,23.5915
00100608178-01,100608178,1,1,3443,4.438,10.3823,0.00152259,11.1986,0.840006,0.10258,41.5824,0.0931861,1,12533.9,937.214,2.10324,1472.11,0.00116021,0.195729,0.00999983,6.64109,-2.02083,2,1.91212,11.3388,9.54301,497.684,14.4989
00100656225-01,100656225,1,2,6185,4.16009,0.687288,0.000299495,4.0029,0.573083,0.0244644,1.08052,0.016135,1.49878,440.84,46.3164,3.90537,1468.74,0.00539831,1.69875,0.974494,10.8249,0.34452,32,16.4098,8.09407,2.93806,2630.36,11313.2
00100656225-02,100656225,2,2,6185,4.16009,0.687377,0.000198769,3.13312,0.462316,0.0191486,1.24778,0.0161364,1.49878,306.082,32.6919,2.65542,1468.4,0.00351646,0.392726,0.937957,0,0.34379,32,73.5727,11.0718,4.69881,2630.25,11311.2
00011286198-01,11286198,1,1,6257,4.438,1.19012,0.000613909,4.0029,4.03704,0.0270783,1.15842,0.0269142,1.3541,521.088,81.1449,4.87716,1469.37,0.0061696,2.43858,0.976424,6.58035,0.52639,19,14.3577,8.59981,4.18219,1958.36,3476.08
00011286209-01,11286209,1,2,5780,4.438,1.19095,7.24494e-005,18.1866,0.750797,0.16659,1.63583,0.0219998,1,18813.5,268.209,5.09876,1469.37,0.000728015,2.54938,0.9182,22.9953,0.51389,19,7.03766,23.1191,7.2104,1719.53,2066.16
00011286209-02,11286209,2,2,5780,4.438,1.19095,0.000103422,10.7845,0.182958,0.0987864,1.71073,0.0219998,1,8423.87,272.265,4.09752,1468.7,0.00102196,1.79143,0.897444,0,0.59444,19,20.791,25.2544,8.31391,1719.53,2066.15
00011295893-01,11295893,1,2,5624,3.22643,8.73046,0.000804233,25.6338,7.97368,0.058681,13.4438,0.0825655,4.00141,4037.17,321.038,5.25743,1471.36,0.00103968,0.291946,0.00999983,13.5467,5.87778,3,50.7261,31.669,24.9124,1727.61,2105.23
