#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018235142541 
#Sectors = s0002-s0002
#Created Date = 2018-12-11
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00115242169-01,115242169,1,1,4543,4.54901,0.263012,2.80752e-005,1.89734,1.46233,0.0233342,1.64607,0.00719187,0.744816,550.103,57.2352,1.0083,1354.28,0.00131926,0.0533034,0.739441,5.93105,0.12831,104,94.3286,7.75142,2.98037,2040.04,4093.3
00115242300-01,115242300,1,3,3447,4.89049,0.428719,3.42877e-005,0.910213,0.812301,0.02316,2.22874,0.00797325,0.36,630.953,64.0454,1.55415,1354.5,0.00103849,0.0383227,0.111435,10.841,0.20617,65,43.2689,8.50034,4.82336,1022.04,257.863
00115242300-02,115242300,2,3,3447,4.89049,10.7232,0.00253205,2.58146,0.500925,0.0656841,39.8308,0.0681923,0.36,4080.39,510.671,1.36525,1362.44,0.0017487,0.249056,0.833826,4.26984,7.69167,2,10.9603,13.3374,11.5711,349.475,3.52523
00115242300-03,115242300,3,3,3447,4.89049,0.428679,3.72949e-005,0.900964,0.529762,0.0229246,1.77321,0.00797275,0.36,610.091,49.5445,1.9512,1354.29,0.00112441,0.0535162,0.286354,0.5863,0.11944,64,78.0708,10.7171,3.7387,1022.07,257.895
00115443990-01,115443990,1,2,6919,4.08051,0.755051,-1,8.13075,-1,0.0401566,3.04832,0.0186276,1.85469,0,0,2,1354.59,-1,0.0808467,0.1,45.3506,0.37866,0,154.625,120.855,26.057,3046.44,20355.9
00115443990-02,115443990,2,2,6919,4.08051,1.51068,6.07717e-005,27.508,3.60619,0.135858,2.57744,0.029577,1.85469,20076.4,750.65,4.82545,1354.38,0.000761205,0.757054,0.483078,6.77975,1.13055,19,3.23005,16.1691,5.59247,2417.65,8074.15
00115692339-01,115692339,1,4,5780,4.438,9.50975,0.00165703,1.74265,0.50586,0.0159628,18.1239,0.087889,1,279.24,35.1727,3.41079,1361.7,0.00196845,0.0771194,0.556212,6.65269,5.00417,3,13.6305,13.1931,9.95128,860.305,129.459
00115692339-02,115692339,2,4,5780,4.438,14.7112,0.00486771,4.25629,12.9939,0.0389878,18.8144,0.117558,1,505.701,225.399,1.68819,1366.44,0.00208626,0.844097,0.999926,7.82128,0.225,2,1.987,11.5551,10.5952,743.863,72.3592
00115692339-03,115692339,3,4,5780,4.438,13.4642,0.00486735,2.03849,5.11915,0.0186726,87.4011,0.110818,1,383.186,61.096,1.01429,1366.32,0.00329265,0.0261754,0.543086,7.80293,0.35,2,5.13779,10.9363,10.7251,766.152,81.4293
00115692339-04,115692339,4,4,5780,4.438,11.9926,0.00376454,1.77586,0.803067,0.016267,28.8077,0.102588,1,281.449,36.5237,2.4999,1364.19,0.00382792,0.067712,0.644493,5.51617,2.50278,2,0.00032,10.8617,8.10964,796.289,95.0175
