#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142
#Sectors = S0001-S0002
#Created Date = 2019-02-13
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00139250626-01,139250626,1,1,3752,4.438,31.3318,0.00267395,3.13843,1.1241,0.0287481,65.7255,0.194601,1,988.228,119.204,3.7466,1347.45,0.00189868,0.104707,0.00341183,6.18694,1.79583,2,4.2702,8.60686,7.6734,375.303,4.68867
00139281803-01,139281803,1,1,5818,4.42453,30.0046,0.0117272,4.5759,0.649222,0.0403149,18.9556,0.192042,1.0397,1252.43,172.629,4.97579,1348.62,0.0100496,1.9601,0.955717,3.95842,-6.50833,2,1.64843,8.61389,7.42655,597.34,30.0891
00139285666-01,139285666,1,2,5561.91,4.438,0.698056,2.99706e-005,1.30396,0.319271,0.0139042,1.78311,0.0139239,0.859049,200.875,28.3924,2.47283,1325.47,0.00107539,0.0703411,0.699984,10.505,0.35,81,85.9026,7.67025,4.59272,1927.72,3263.61
00139285666-02,139285666,2,2,5561.91,4.438,0.697913,2.77721e-005,1.27712,0.614572,0.0136179,2.18318,0.013922,0.859049,213.246,26.1335,2.4264,1325.83,0.000986353,0.0401598,0.363446,2.82927,0.49633,80,60.8105,8.90267,3.59044,1927.85,3264.51
00139285669-01,139285669,1,1,3260,4.438,0.69797,0.000119668,22.1632,17.9022,0.203016,1.28088,0.0154068,1,19604.2,1637.01,5.42777,1325.47,0.00499766,2.71388,0.969172,11.9144,0.34444,81,59.906,10.4697,3.74261,1158.92,426.317
00139300891-01,139300891,1,2,5380,4.42414,0.909372,5.83408e-005,2.01278,2.05091,0.018777,1.82858,0.0179642,0.981901,366.693,50.0413,3.15276,1325.46,0.00179521,0.119273,0.699495,7.09093,0.25694,62,35.9793,8.15177,3.00604,1755.11,2242.52
00139300891-02,139300891,2,2,5380,4.42414,0.454922,2.02685e-005,1.98714,2.49105,0.0185378,2.16689,0.0113207,0.981901,393.2,39.7448,1.56741,1325.67,0.00101712,0.037,0.423618,3.89878,0.1201,123,181.266,10.1151,5.42536,2210.92,5646.89
00139370701-01,139370701,1,1,6632,4.438,1.12006,6.63985e-005,2.12472,0.360944,0.0128575,1.91393,0.0278405,1.51371,169.743,22.0864,3.55454,1325.6,0.00164973,0.0966018,0.716097,6.46343,0.74167,50,27.4904,8.3912,2.93959,2157.84,5123.85
00140609384-01,140609384,1,1,5925.5,4.26541,21.6031,0.00404237,6.46235,0.874399,0.0467383,16.7917,0.155733,1.26653,1767.61,190.546,4.44803,1327.8,0.00472535,1.57909,0.944214,2.84735,-0.36806,3,3.49859,13.3131,11.6316,745.65,73.0567
00140659980-01,140659980,1,2,5642.4,3,9.44023,5.54719e-005,74.6496,13.7068,0.327094,15.5066,0.0474218,2.09051,44672,44071.7,4.06823,1328.27,0.000158074,2.03412,1,261.593,4.45833,6,3506.18,520.391,262.369,1653.08,1764.78
