#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018267104341 
#Sectors = S0003-S0003
#Created Date = 2019-02-11
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00100029948-01,100029948,1,2,5327,4.43502,1.38901,-1,33.8151,-1,0.321915,7.03578,0.0237034,0.962204,368779,0,2,1386.11,-1,0.493432,0.1,2.63508,0.71944,0,72360.9,845.387,316.357,1497.62,1188.87
00100029948-02,100029948,2,2,5327,4.43502,1.38889,-1,8.27339,-1,0.0787615,4.60223,0.023702,0.962204,7386.21,-1,2.5,1386.25,-1,0.186981,0.1,2.49147,0.57222,15,19.2452,54.7826,21.1728,1497.67,1189.01
00100100827-01,100100827,1,2,6400,4.36583,0.941454,6.22821e-006,12.9974,0.0430238,0.0967938,3.71886,0.0204284,1.23,10729.8,37.7982,2.15311,1386.47,7.43274e-005,0.194394,0.00999983,10.7364,0.47228,22,1147.06,288.488,73.5795,2191.33,5449.41
00100100827-02,100100827,2,2,6400,4.36583,0.941598,0.000135403,2.52156,0.618344,0.0187785,2.81458,0.0204305,1.23,368.886,31.4853,2.0425,1385.99,0.00162838,0.0693518,0.67204,2.70115,0.32361,22,23.5801,10.3018,4.75828,2191.21,5448.3
00100103201-01,100103201,1,1,3601,4.7978,9.92881,0.00511658,3.96893,10.8292,0.0743468,14.8704,0.073999,0.489,2327.12,335.97,2.14863,1392.76,0.00346093,1.07432,0.988743,3.12431,-0.94861,2,6.33357,8.9234,8.56028,408.467,6.5788
00100917608-01,100917608,1,1,6281,3.64165,2.06111,-1,80.4896,-1,0.265913,4.47745,0.0339655,2.77267,401446,0,4.5,1386.26,-1,0.965247,0.1,1.67697,0.64861,0,11485.2,1002.79,360.275,2504.09,9292.31
00100918213-01,100918213,1,1,5318,4.58051,0.25645,9.10671e-006,9.73703,4.37341,0.109744,1.2544,0.00767872,0.812724,4900.73,95.5981,1.38852,1386.13,0.000403997,0.694261,0.990025,3.85986,-0.05938,79,208.687,18.7261,4.76483,2414.17,8027.7
00100990000-01,100990000,1,1,6101,4.38774,11.5142,0.010933,2.94892,2.2161,0.0237932,5.46979,0.104543,1.13529,339.755,141.953,4.54404,1393.82,0.00773744,2.27202,0.985378,3.17263,8.03194,2,5.81175,7.39848,6.72537,887.153,146.391
00010756751-01,10756751,1,1,6134,3.36081,3.48889,-1,7.55732,-1,0.01858,3.65165,0.0473547,3.7258,0,0,7.5,1387.98,-1,0.141716,0.1,3.91964,0.90556,0,0.55312,15.7962,7.07391,2400.84,7851.94
00010802452-01,10802452,1,1,5314,4.47,13.5417,0.00398924,1.92662,2.58136,0.0202282,48.012,0.104094,0.87244,472.687,69.8445,2.0369,1390.18,0.0024873,0.0472146,0.383901,3.61482,-1.04028,2,3.41437,12.2288,11.1202,678.84,50.1871
00010838695-01,10838695,1,1,7297,4.438,2.30556,-1,10.3932,-1,0.0952026,5.52559,0.0341722,1,0,0,3.5,1386.67,-1,0.310145,0.1,6.10433,1.13194,0,247.008,230.813,89.4267,1741.81,2175.31
00111267340-01,111267340,1,2,4407,4.56293,0.635064,-1,21.8062,-1,0.27763,4.1872,0.0127845,0.719466,326115,0,1.5,1386.58,-1,0.333376,0.1,4.04473,0.16284,0,54589.2,1166.09,306.17,1458.81,1070.32
00111267340-02,111267340,2,2,4407,4.56293,3.80972,-1,3.54799,-1,0.045172,2.50045,0.0422086,0.719466,2522.46,-1,12.5,1386.89,-1,0.57661,0.1,44.8165,1.90694,6,4.59718,48.0335,23.3979,802.86,98.1928
00111362929-01,111362929,1,1,6178,3.54744,13.8197,0.00160847,11.7094,6.11753,0.0353947,91.3086,0.119206,3.03035,1371.48,164.864,1.04031,1390.53,0.00120533,0.0476743,0.512416,2.86484,-1.73194,2,36.5982,13.1693,14.5626,1374.48,843.477
00114435403-01,114435403,1,1,6691,4.438,10.4022,0.00356994,7.40019,0.939705,0.040358,13.7786,0.13184,1.67962,1358.25,114.088,2.52247,1387.63,0.00252991,0.769874,0.944466,2.52944,-0.34722,2,176.595,20.2555,25.3111,1053.82,291.463
00114471605-01,114471605,1,1,3284,4.97358,6.38611,-1,13.9253,-1,0.458834,35.5119,0.0433048,0.278,406349,0,2,1388.3,-1,0.63466,0.1,2.63403,3.47222,0,2.60818,79.6992,47.8861,367.155,4.29456
00114500611-01,114500611,1,1,6750,4.0697,0.488786,9.44076e-006,71.1388,23.9123,0.354896,1.86485,0.0137321,1.83613,139086,1896.34,2.98367,1386.28,0.00021266,0.912789,0.318917,5.85463,0.2456,41,35.2763,15.3523,5.73867,3444.13,33253.5
00011487334-01,11487334,1,1,6085,4.438,0.383819,6.4383e-005,46.7475,41.122,0.428209,1.4586,0.0103412,1,79706.9,4093.32,3.78421,1386.2,0.00215436,1.8921,0.990105,10.322,0.18939,53,24.0608,7.61509,2.33659,2640.38,11486.4
00011518868-01,11518868,1,1,4788,4.438,8.6083,0.00517851,6.72252,12.6125,0.0615786,10.7093,0.0822432,1,1511.92,215.237,2.36213,1393.84,0.00367702,1.18106,0.990105,7.59248,-1.92083,2,10.8187,16.985,16.5648,736.709,69.6153
00115274987-01,115274987,1,1,4845,4.47542,0.616871,0.000121295,2.11368,1.2791,0.0227699,2.79759,0.0131061,0.850306,483.554,59.497,1.06686,1385.97,0.00223811,0.0734599,0.828446,3.7883,-0.12631,33,17.7399,7.16284,2.84454,1722.01,2078.09
00115275539-01,115275539,1,1,4760,2.17268,1.76314,5.34463e-005,279.336,81.4524,0.227235,2.3913,0,11.2603,21081.4,129.544,4.57446,1386.16,0.000346859,2.28723,0.990105,2.19439,0.83056,12,2485.28,161.083,55.456,0,0
00011546041-01,11546041,1,1,6331,4.2699,0.406862,2.25357e-005,31.0749,9.4778,0.209606,1.49604,0.0115884,1.35801,41194.9,1519.63,2.47924,1386.13,0.000646821,1.23962,0.805754,10.7408,0.20694,50,24.605,9.36944,3.76211,3024.16,19766.9
00011598102-01,11598102,1,1,5788,4.438,8.20313,0.000417071,29.149,8.75515,0.267006,1.22375,0.0796419,1,55445.2,2301.18,98.4375,1390.08,0.00123348,49.2188,0.842943,10.3429,2.00694,3,0.17483,14.2771,11.1635,905.002,158.533
00011614485-01,11614485,1,1,3530,4.438,12.4753,0.0020023,10.1729,0.69424,0.0931838,33.623,0.105323,1,10347.1,809.094,3.09904,1387.14,0.00137681,0.264259,0.00999983,3.47292,3.20694,2,4.79456,17.9197,14.8372,479.961,12.5413
00011646650-01,11646650,1,2,3984,4.62081,7.40301,0.00275863,9.16223,1.05739,0.131315,7.36803,0.0634971,0.639123,20722.7,1632.51,8.71762,1387.76,0.00323624,1.01748,0.0122482,5.91804,2.01389,3,437.245,31.0286,36.8141,557.733,22.8679
00011646650-02,11646650,2,2,3984,4.62081,11.97,0.00775524,7.4528,0.904636,0.106815,8.67423,0.0874737,0.639123,13720.3,1230.09,11.6989,1392.54,0.00558021,1.13376,0.0149149,4.32827,1.52639,2,7.5025,11.0566,10.5003,475.187,12.0498
00120896927-01,120896927,1,2,5175.2,4.37657,9.6981,0.00354285,2.11569,2.30547,0.0218324,34.0388,0.0784577,0.887665,541.809,58.1924,1.96306,1387.67,0.00252858,0.0542198,0.480694,6.02469,4.77083,2,14.5968,10.0631,9.4529,768.114,82.2667
00120896927-02,120896927,2,2,5175.2,4.37657,4.76185,0.00264102,1.82311,1.05829,0.0188131,10.9965,0.048831,0.887665,376.152,38.7876,2.57203,1387.67,0.00570806,0.0832863,0.660817,2.84694,1.36667,4,5.61659,9.44163,7.13614,973.634,212.376
00120916706-01,120916706,1,1,3116,5.06043,0.556737,7.34614e-005,5.22453,1.35549,0.233448,6.1937,0.0074285,0.205,63679.1,5716,0.852671,1386.17,0.00147032,0.162489,0.00999983,2.59249,-0.07396,37,32.9247,10.4065,3.74944,722.297,64.3257
00122503733-01,122503733,1,2,6894,4.26767,16.2032,0.002,26.124,10.7646,0.160552,20.7142,0.143547,1.49046,11401.9,706.364,3.62272,1388.97,0.00144163,1.81136,0.990105,27.3011,0.22083,2,0.41357,21.3634,17.1095,980.227,218.186
00122503733-02,122503733,2,2,6894,4.26767,15.2051,0.00301158,24.4698,11.2611,0.150386,15.6193,0.13759,1.49046,10008.8,872.522,4.3658,1390.3,0.00193272,2.1829,0.990105,15.1383,0.22083,2,8.50571,14.3945,11.6229,1001.22,237.489
00122504533-01,122504533,1,2,5448,4.44771,4.16696,0.00536173,5.93908,0.851585,0.0563846,1.48783,0.0498779,0.964841,2598.75,239.206,14.42,1389.8,0.0109403,4.66102,0.92514,26.9967,1.21944,5,4585.65,53.3223,101.42,1057.31,295.346
00122504533-02,122504533,2,2,5448,4.44771,3.89995,0.00731154,7.42445,1.1556,0.0704865,1.35729,0.0477238,0.964841,4060.88,622.259,17.1965,1389.03,0.0207482,6.86999,0.922339,4.14715,2.29722,5,32.3585,22.6914,23.134,1080.91,322.611
00122555050-01,122555050,1,1,3516,4.85688,10.0741,0.00167874,5.14693,0.949111,0.119056,52.1047,0.0679281,0.396,16691.7,1368.17,1.65254,1391.99,0.00119629,0.175946,0.0267122,7.22317,7.01528,2,0.62743,15.7933,11.9078,374.597,4.65346
00122612091-01,122612091,1,1,6250,3.98811,2.2169,0.000190859,13.5014,0.215251,0.0624615,3.95688,0.0371649,1.98,4177.55,63.2667,3.84578,1387.83,0.000964649,0.344134,0.594276,2.17698,1.13611,9,389.244,33.5615,13.8598,2012.97,3880.37
00122613513-01,122613513,1,1,4140,4.46332,11.4898,0.00525175,3.43793,0.892793,0.0402586,21.3429,0.0863033,0.782234,1508.06,177.719,2.58931,1388.37,0.00370709,0.297728,0.828526,3.03325,6.35555,2,0.00176,8.86037,6.37545,549.98,21.6226
00122671519-01,122671519,1,1,3157,4.438,8.45213,0.000900684,8.09102,2.17895,0.0741141,51.4294,0.0812456,1,6542.48,988.161,1.348,1387.64,0.0012897,0.0931195,0.0332207,6.59698,1.83194,3,13.5811,15.5245,17.4564,488.727,13.483
00123292144-01,123292144,1,2,6009,4.44952,14.4737,0.00332977,4.12036,0.774239,0.0362844,27.6068,0.120446,1.04019,1453.38,159.667,3.62307,1390.18,0.00293408,0.168666,0.506137,5.20095,-1.99306,2,3.34328,8.57217,7.08519,779.211,87.1246
00123292144-02,123292144,2,2,6009,4.44952,9.95024,0.00675729,5.76733,1.37462,0.0507878,7.5115,0.0938194,1.04019,1869.8,269.805,4.36411,1392.71,0.00473834,2.18206,0.959905,3.70827,1.725,2,3.91077,8.93256,7.43424,882.885,143.594
00123337161-01,123337161,1,2,5776,4.20117,0.554981,6.20154e-005,41.0205,9.22504,0.281031,1.51489,0.0133812,1.33704,83039.4,3085.8,4.00737,1386.14,0.00124527,1.44637,0.623006,10.1106,0.23056,37,23.1262,12.2022,9.5843,2547.68,9956.31
00123337161-02,123337161,2,2,5776,4.20117,0.554134,3.17676e-005,39.8754,8.96531,0.273186,2.21563,0.0133675,1.33704,86676.6,2661.83,2.59138,1386.38,0.00148516,0.588317,0.00999983,0,0.27703,36,474.453,37.6475,17.7776,2548.98,9976.63
